Area,IMD,Income`,Employ,Health,Educ,Barr,Crime,Env,<16,60+
E01020072,14201,23442,24771,21040,26204,32245,183,1344,25622,24129
E01020073,9384,14917,11090,9561,22677,28927,733,1752,20653,18077
E01020074,20158,29301,30058,27418,29742,28762,2841,1266,30911,27189
E01020075,22454,25032,26452,24746,26224,31454,13861,2103,26843,24724
E01020076,14944,20251,20325,16831,25460,27885,2434,1778,27238,17258
E01020077,14503,25041,26524,21803,28029,32525,351,591,26948,27004
E01020078,9236,9234,7581,7350,12716,19261,28189,2393,14485,8872
E01020079,7631,6926,4707,3854,9718,15363,18062,21445,9537,7283
E01020080,23989,27801,29812,22539,29028,30780,3732,8938,26490,28810
E01020081,11299,11714,14149,7048,14428,20710,6218,7057,13571,11824
E01020082,15150,21441,21521,13002,24979,32666,5572,700,21269,23838
E01020083,17595,21235,19031,15279,29179,27698,4503,4907,19084,24588
E01020084,14862,14407,13574,9292,13250,28322,6756,27431,12062,18779
E01020085,22617,24745,24921,14689,20793,30062,3775,32701,26053,17385
E01020086,26430,23480,24978,21211,19732,24362,17170,29073,23348,26992
E01020087,12276,20076,23839,15323,21348,30239,760,521,27374,19301
E01020088,14227,19159,27440,19880,25831,24382,1145,862,18450,22733
E01020089,26090,22019,22749,20190,24688,27465,28159,15727,26384,16708
E01020090,29324,25981,26808,24581,25039,30409,18528,25034,29726,21287
E01020091,24908,25959,27994,13468,24758,28310,13831,14491,25463,25513
E01020092,27038,24478,21553,17330,20191,31846,26907,29818,30775,23857
E01020093,16096,14097,17112,16190,14783,17417,24678,5653,19193,10364
E01020094,1770,2726,1780,5037,889,3563,16178,3105,5554,3087
E01020095,7573,9562,8154,5335,6369,9985,21347,3842,15547,6600
E01020096,7092,10679,6255,8078,4962,2097,23368,10069,12516,13639
E01020097,12857,23083,24750,15336,27456,29875,436,478,24271,23419
E01020098,14120,18904,16754,20308,25542,30833,4213,652,19255,21302
E01020099,15963,18010,14278,13079,17109,23904,14327,6208,20862,23774
E01020100,11603,14500,17730,13339,18739,19917,1705,2691,17192,16812
E01020101,13638,11891,11226,12478,12894,24749,15987,10831,11814,17758
E01020102,24904,22391,26140,15742,19596,32091,10626,31377,18943,22717
E01020103,4102,3655,3839,1192,4827,9241,20225,19257,5962,3289
E01020104,6613,6981,11787,1526,6040,16877,3610,20462,6650,3538
E01020105,20336,17675,15956,11495,15348,29930,25240,28971,20121,20598
E01020106,22504,20070,18480,23505,15929,32318,10183,28745,25122,19620
E01020107,25281,19581,19633,18905,19428,30899,28496,30369,13887,26118
E01020108,18996,23450,25100,14735,25760,20477,4320,6974,22018,23891
E01020109,22848,28852,28748,25263,27986,22964,13978,1620,26878,26864
E01020110,23320,26100,29309,12895,22268,28661,4838,23283,24885,18872
E01020111,3837,5409,4724,2533,4026,1831,17610,8419,10694,3539
E01020112,1576,2348,2092,5952,1646,2874,17989,352,1970,3801
E01020113,3919,5986,4213,7652,5014,1221,22256,1549,6136,10587
E01020114,8673,10785,8288,8796,9314,6311,17483,4763,13325,14172
E01020115,15246,21921,18614,12182,15830,26067,4864,4288,29867,18477
E01020116,10737,11015,9107,10373,11608,13966,27208,3790,15792,10007
E01020117,14472,18980,15465,11474,17155,21151,3808,9298,25670,18079
E01020118,9524,8818,8607,6022,9894,21634,10409,12637,10669,9477
E01020119,17073,21129,20705,20592,20549,28090,2363,5877,21273,24789
E01020120,25851,27851,25471,25577,20515,22220,10681,18755,29847,25323
E01020121,19541,21341,23069,18902,19929,21127,11621,5266,24266,20422
E01020122,15120,21660,25343,18175,23911,23133,750,3065,19319,22580
E01020123,13238,11757,11074,6712,10626,20170,26287,21311,9467,17733
