Area,0 to 15,16 to 64,65 to 84,85 and over,Total
E01020084,0.15961,0.56558,0.23664,0.03817,1
E01020085,0.21238,0.63713,0.13225,0.01824,1
E01020086,0.17323,0.54876,0.24712,0.03089,1
E01020087,0.1316,0.54419,0.29107,0.03314,1
E01020088,0.15754,0.58362,0.22637,0.03248,1
E01020089,0.20695,0.5832,0.17632,0.03353,1
E01020090,0.16757,0.53047,0.25408,0.04788,1
E01020091,0.14872,0.55848,0.25949,0.03331,1
E01020092,0.13218,0.48858,0.29827,0.08097,1
E01020093,0.16667,0.56223,0.23104,0.04006,1
E01020094,0.11942,0.62725,0.19884,0.05449,1
E01020095,0.22215,0.63303,0.11796,0.02687,1
E01020096,0.14728,0.62712,0.17943,0.04617,1
E01020097,0.14527,0.57797,0.25411,0.02266,1
E01020098,0.14129,0.55327,0.26612,0.03932,1
E01020099,0.13417,0.53521,0.3017,0.02891,1
E01020100,0.15882,0.5217,0.28994,0.02955,1
E01020101,0.16058,0.54859,0.24879,0.04204,1
E01020102,0.2,0.65731,0.11403,0.02866,1
E01020103,0.26918,0.60536,0.11084,0.01462,1
E01020104,0.26931,0.65199,0.07509,0.00361,1
E01020105,0.21739,0.55124,0.20135,0.03002,1
E01020106,0.11405,0.46077,0.36314,0.06204,1
E01020107,0.13124,0.48059,0.30746,0.08071,1
E01020108,0.17007,0.57506,0.22948,0.0254,1
E01020109,0.18905,0.56496,0.21314,0.03285,1
E01020110,0.20919,0.63863,0.12723,0.02495,1
E01020111,0.21586,0.60793,0.15419,0.02203,1
E01020112,0.13928,0.64442,0.18164,0.03466,1
E01020113,0.18082,0.59365,0.18146,0.04407,1
E01020114,0.17486,0.60355,0.19823,0.02337,1
E01020115,0.1652,0.56776,0.24379,0.02326,1
E01020116,0.1764,0.59008,0.20151,0.03202,1
E01020117,0.14008,0.55362,0.27011,0.03619,1
E01020118,0.21241,0.60657,0.15693,0.02409,1
E01020119,0.12449,0.54036,0.29275,0.04241,1
E01020120,0.18513,0.57753,0.19778,0.03956,1
E01020121,0.19536,0.58027,0.19874,0.02563,1
E01020122,0.15758,0.59945,0.21928,0.02369,1
E01020123,0.20066,0.54145,0.22697,0.03092,1
E01020124,0.13392,0.53639,0.27001,0.05968,1
E01020125,0.14501,0.49031,0.3295,0.03518,1
E01020126,0.08563,0.59817,0.26606,0.05015,1
E01020127,0.18092,0.57538,0.22442,0.01928,1
E01020128,0.17464,0.55239,0.21992,0.05304,1
E01020129,0.1803,0.5985,0.20451,0.01669,1
E01020130,0.19115,0.66533,0.12542,0.01811,1
E01020131,0.1831,0.59243,0.20114,0.02333,1
E01020132,0.1515,0.56797,0.23157,0.04896,1
E01020133,0.1683,0.59777,0.21788,0.01606,1
E01020134,0.20759,0.60097,0.15428,0.03716,1
E01020135,0.18357,0.54142,0.21007,0.06494,1
E01020136,0.1751,0.57096,0.21805,0.03589,1
E01020137,0.14355,0.60193,0.19723,0.0573,1
E01020138,0.15436,0.57238,0.23404,0.03922,1
E01020139,0.18956,0.59227,0.19027,0.0279,1
E01020140,0.15344,0.52572,0.28073,0.0401,1
E01020141,0.25414,0.62597,0.11381,0.00608,1
E01020142,0.20524,0.56921,0.19491,0.03064,1
E01020143,0.16855,0.60964,0.20713,0.01468,1
E01020144,0.17422,0.7115,0.10453,0.00976,1
E01020145,0.12839,0.65117,0.20617,0.01427,1
