Area,Children & young people,Adult skills,Geographic barriers,Wider barriers,Indoor environment,Outdoor environment
E01020181,19830,19732,18050,22453,19169,32640
E01020182,12104,24297,3130,21768,6588,31932
E01020183,17996,29820,27835,19206,2189,20454
E01020184,24788,30900,19455,19620,2330,31604
E01020185,28599,29519,18822,29179,17596,32695
E01020186,31703,30143,2385,30895,8226,32581
E01020187,17345,21950,7497,24556,8122,27408
E01020188,26764,26011,229,27811,945,32667
E01020189,12361,13343,4525,16201,6033,32476
E01020190,26561,28623,19729,26592,7616,30777
E01020191,19398,13383,3851,17157,1679,32587
E01020192,25077,24519,3450,27969,12354,31688
E01020193,28104,25238,11078,23311,506,31709
E01020194,26522,27223,7484,29679,20743,31873
E01020195,11481,14304,2565,21270,3516,30912
E01020196,10669,21948,29897,15924,2917,29400
E01020197,23627,23734,5144,24291,10851,32334
E01020198,8326,17955,26149,13892,1231,32224
E01020199,6823,18473,14159,16122,2522,32058
E01020200,30612,28247,4085,24908,10027,31390
E01020201,28976,26123,4412,25085,19793,31384
E01020202,19423,20711,8502,23332,10634,32414
E01020203,29709,28528,10589,28163,26152,30938
E01020204,6850,12734,20536,20663,11305,27113
E01020205,28156,30552,902,27886,897,32407
E01020206,17412,22570,31822,24841,4787,31566
E01020207,18561,20657,1522,22064,7366,31801
E01020208,6086,7619,15313,17087,15292,30238
E01020209,11200,12189,7242,21444,9025,31856
E01020210,21060,22882,4683,29817,26920,28221
E01020211,2239,5666,24037,12332,4736,28066
E01020212,2743,6790,27628,16395,8138,27538
E01020213,6999,10889,6848,22921,12338,28320
E01020214,9987,16674,5649,26573,12040,26287
E01020215,28135,23967,1767,31040,30894,30998
E01020216,4373,7606,11353,12585,9229,22841
E01020217,11451,13005,31591,14522,977,20987
E01020218,5001,11165,21027,14584,1517,18635
E01020219,22077,20687,5264,22989,15075,29159
E01020220,11030,15055,9043,16898,5553,31560
E01020221,13018,23356,3188,19384,2208,28033
E01020222,25097,27694,10704,23907,12951,30824
E01020223,18464,23110,3847,21448,2561,29786
E01020224,14762,14694,24646,18995,813,27209
E01020225,9170,11736,20933,14700,1309,28861
E01020226,29132,26203,3932,22151,14825,24864
E01020227,15422,17705,17351,19674,10453,29524
E01020228,22912,13036,20187,8840,1161,27017
E01020229,21829,13171,2097,13823,501,31413
E01020230,22061,17580,15740,19813,8623,30989
E01020231,19584,15640,9711,19584,12362,28756
E01020232,13660,13067,3773,14672,8197,30697
E01020233,22656,23930,2451,24764,9886,31729
E01020234,5907,7975,10211,13413,3650,31981
E01020235,24614,17952,9416,11340,1511,32105
E01020236,25456,21657,2966,27813,15223,32290
E01020237,29145,28987,818,26424,681,31358
E01020238,28886,21805,14836,22004,19152,32050
E01020239,25516,25534,8035,25926,10040,31792
E01020240,18332,23509,13594,24209,11217,30492
E01020241,22693,27105,5052,21981,580,29777
E01020242,28591,29146,15295,27855,27776,16301
E01020243,19418,27545,1237,22425,3148,31710
E01020244,17362,19352,28321,19826,5455,31198
E01020245,28805,27631,3145,22131,1034,31260
E01020246,29685,23931,1665,24523,1222,28203
