Area,Label,RD&E Exeter Hospital,Barnstaple Hospital,Torbay Hospital,Plymouth Hospital,Community Hospital,Outside Devon,Total
E01020168,South Hams 010A,0,0,98,146,<5,9,254
E01020169,South Hams 010B,<5,0,59,131,0,<5,196
E01020170,South Hams 004C,<5,0,253,<5,<5,<5,262
E01020171,South Hams 009A,<5,0,0,124,<5,6,133
E01020172,South Hams 012A,0,0,36,119,0,10,165
E01020173,South Hams 012B,0,0,23,98,0,<5,123
E01020174,South Hams 011A,0,0,63,78,0,<5,144
E01020175,South Hams 011B,<5,0,155,14,8,7,185
E01020176,South Hams 002D,<5,0,22,73,0,<5,98
E01020177,South Hams 002E,0,0,38,117,0,<5,156
E01020178,South Hams 011C,<5,<5,102,93,<5,14,214
E01020179,South Hams 012C,<5,0,51,169,0,11,232
E01020180,South Hams 003A,<5,0,194,5,8,<5,213
E01020181,South Hams 003B,<5,0,225,6,<5,5,241
E01020182,South Hams 003C,<5,<5,136,7,0,<5,147
E01020183,South Hams 003D,<5,0,114,<5,<5,<5,122
E01020184,South Hams 003E,7,0,133,<5,10,<5,153
E01020185,South Hams 009B,0,0,<5,141,0,<5,144
E01020186,South Hams 009C,0,0,0,113,0,<5,114
E01020187,South Hams 009D,<5,0,0,167,0,<5,171
E01020188,South Hams 004D,7,<5,130,9,<5,5,156
E01020189,South Hams 010C,<5,0,90,156,<5,9,259
E01020190,South Hams 008D,0,0,0,181,0,8,189
E01020191,Teignbridge 013A,11,0,216,0,<5,<5,232
E01020192,Teignbridge 019A,<5,0,166,5,<5,<5,181
E01020193,Teignbridge 019B,9,0,143,<5,0,<5,157
E01020194,Teignbridge 013B,<5,0,120,<5,<5,<5,130
E01020195,Teignbridge 017A,8,0,155,7,<5,<5,173
E01020196,Teignbridge 017B,11,0,186,10,<5,<5,209
E01020197,Teignbridge 017C,6,0,126,<5,0,5,139
E01020198,Teignbridge 017D,8,0,141,<5,7,<5,161
E01020199,Teignbridge 017E,11,0,159,5,<5,<5,180
E01020200,Teignbridge 011A,6,0,99,0,0,6,111
E01020201,Teignbridge 011B,10,0,167,<5,0,<5,180
E01020202,Teignbridge 007A,12,0,255,<5,<5,<5,277
E01020203,Teignbridge 004A,19,0,174,<5,5,<5,202
E01020204,Teignbridge 007B,18,0,150,9,<5,<5,180
