,,14,15,16,17,18,19
E01020067,Mid Devon 004D,181,205,203,211,212,224
E01020068,Mid Devon 010A,137,129,120,143,162,171
E01020069,Mid Devon 010B,105,108,100,103,115,135
E01020070,Mid Devon 010C,131,131,146,152,170,167
E01020071,Mid Devon 008D,136,142,146,142,135,141
E01020072,Mid Devon 009A,118,122,123,123,116,112
E01020073,Mid Devon 009B,136,138,145,138,137,147
E01020074,Mid Devon 003B,150,160,153,139,142,183
E01020075,Mid Devon 003C,192,187,180,174,182,201
E01020076,Mid Devon 009C,126,124,124,128,134,135
E01020077,Mid Devon 001D,101,106,109,109,112,107
E01020078,Mid Devon 005B,133,132,143,151,165,162
E01020079,Mid Devon 005C,114,123,124,135,153,165
E01020080,Mid Devon 002D,72,90,102,104,98,94
E01020081,Mid Devon 005D,118,124,129,137,137,138
E01020082,Mid Devon 009D,91,93,94,105,94,98
E01020083,Mid Devon 010D,152,149,146,152,172,195
E01020084,North Devon 012A,166,180,189,201,191,192
E01020085,North Devon 012B,120,129,133,122,115,126
E01020086,North Devon 012C,130,135,137,140,133,142
E01020087,North Devon 014A,152,169,191,205,189,180
E01020088,North Devon 006A,170,164,170,161,156,162
E01020089,North Devon 005A,173,176,185,185,191,196
E01020090,North Devon 004A,141,149,157,163,161,159
E01020091,North Devon 005B,101,105,120,121,122,112
E01020092,North Devon 005C,132,139,140,135,139,135
E01020093,North Devon 005D,155,156,156,163,163,174
E01020094,North Devon 008A,286,298,304,300,307,306
E01020095,North Devon 008B,171,177,178,176,174,183
E01020096,North Devon 009A,198,200,221,228,234,243
E01020097,North Devon 013A,157,163,164,174,179,186
E01020098,North Devon 014B,167,163,172,178,181,181
E01020099,North Devon 002A,131,136,133,121,120,126
E01020100,North Devon 002B,80,92,91,88,90,93
E01020101,North Devon 002C,137,135,133,145,148,153
E01020102,North Devon 010A,108,113,118,110,112,114
E01020103,North Devon 010B,178,178,184,200,196,209
E01020104,North Devon 010C,140,139,148,137,139,145
E01020105,North Devon 011A,146,158,162,154,164,184
E01020106,North Devon 011B,137,135,133,139,152,153
E01020107,North Devon 011C,193,200,202,206,205,193
E01020108,North Devon 004B,133,135,141,144,144,156
E01020109,North Devon 004C,89,88,87,96,109,114
E01020110,North Devon 005E,183,199,219,228,227,245
E01020111,North Devon 001A,160,170,173,175,165,167
E01020112,North Devon 001B,203,223,230,226,205,201
E01020113,North Devon 003A,157,161,181,181,184,174
E01020114,North Devon 001C,89,92,99,105,108,111
E01020115,North Devon 001D,120,129,126,110,103,99
E01020116,North Devon 003B,156,172,171,173,148,155
E01020117,North Devon 003C,117,122,132,134,132,133
E01020118,North Devon 003D,138,136,130,127,122,127
E01020119,North Devon 011D,139,138,138,129,138,141
E01020120,North Devon 006B,151,155,165,168,177,185
E01020121,North Devon 012D,159,172,183,198,186,185
E01020122,North Devon 012E,130,131,140,136,137,148
E01020123,North Devon 009B,155,150,176,173,177,166
E01020124,North Devon 009C,154,161,159,159,148,147
E01020125,North Devon 009D,121,129,142,139,136,126
E01020126,North Devon 002D,146,149,145,140,143,153
E01020127,North Devon 006C,130,132,142,141,142,138
E01020128,North Devon 010D,105,119,134,147,141,143
E01020129,North Devon 010E,123,119,121,131,127,139
E01020130,North Devon 010F,155,173,183,182,177,174
E01020131,North Devon 013B,163,177,190,196,181,169
E01020132,North Devon 007A,187,196,208,197,194,192
E01020133,North Devon 007B,123,125,118,117,115,126
E01020134,North Devon 007C,127,132,133,129,127,127
E01020135,North Devon 013C,200,230,228,219,198,197
E01020136,North Devon 013D,176,185,187,166,169,172
E01020137,North Devon 013E,147,144,164,171,168,175
E01020138,North Devon 014C,189,195,190,205,218,231
E01020139,North Devon 007D,166,185,199,203,186,188
E01020140,North Devon 008C,126,129,132,129,129,138
E01020141,North Devon 008D,192,196,197,199,210,221
E01020142,South Hams 006A,148,157,167,171,174,184
E01020143,South Hams 006B,155,160,159,168,167,175
E01020144,South Hams 001A,103,98,95,91,91,93
E01020145,South Hams 001B,178,176,171,181,184,189
E01020146,South Hams 001C,101,104,120,127,136,126
E01020147,South Hams 008A,158,158,162,161,167,165
E01020148,South Hams 002A,79,82,91,87,87,83
E01020149,South Hams 001D,132,128,123,127,125,123
E01020150,South Hams 006C,188,183,168,173,191,209
E01020151,South Hams 007A,148,148,149,142,147,154
E01020152,South Hams 007B,160,149,139,150,169,180
E01020153,South Hams 004A,98,96,104,106,104,106
E01020154,South Hams 007C,108,116,123,112,108,113
E01020155,South Hams 007D,111,122,131,129,127,134
E01020156,South Hams 004B,147,134,137,148,169,184
E01020157,South Hams 002B,143,140,148,154,157,169
E01020158,South Hams 008B,119,139,134,139,136,150
E01020159,South Hams 008C,127,124,118,104,109,122
E01020160,South Hams 002C,146,150,139,141,140,151
E01020161,South Hams 005A,265,267,274,284,279,280
E01020162,South Hams 005B,108,112,113,117,120,125
E01020163,South Hams 005C,142,135,125,126,121,122
E01020164,South Hams 005D,155,144,146,148,151,144
E01020165,South Hams 005E,101,100,99,87,87,82
E01020166,South Hams 005F,119,128,127,127,120,116
E01020167,South Hams 005G,94,91,90,101,95,84
E01020168,South Hams 010A,225,227,223,211,213,230
E01020169,South Hams 010B,166,172,178,196,205,212
E01020170,South Hams 004C,177,199,204,208,208,228
E01020171,South Hams 009A,147,134,137,142,149,150
E01020172,South Hams 012A,177,166,177,180,194,184
E01020173,South Hams 012B,141,150,157,172,153,140
E01020174,South Hams 011A,130,124,116,114,133,143
E01020175,South Hams 011B,187,187,181,184,192,195
E01020176,South Hams 002D,96,105,107,114,117,110
E01020177,South Hams 002E,144,163,174,168,160,154
E01020178,South Hams 011C,177,188,186,181,178,195
E01020179,South Hams 012C,154,164,177,185,188,207
E01020180,South Hams 003A,166,164,169,167,179,195
E01020181,South Hams 003B,193,178,167,182,212,234
E01020182,South Hams 003C,102,105,105,96,95,110
E01020183,South Hams 003D,125,136,137,131,131,135
E01020184,South Hams 003E,146,144,141,151,143,150
E01020185,South Hams 009B,111,108,111,112,122,134
E01020186,South Hams 009C,90,94,89,94,90,101
E01020187,South Hams 009D,165,156,162,156,150,151
