Area,2011,2012,2013,2014,2015,2016
E01015246,41829.98707,45597.43182,41625.71316,39283.89498,41133.03426,36762.21693
E01015247,41079.25559,42277.8353,37726.16182,33708.45963,35257.19824,36687.03005
E01015248,51033.06823,46536.05616,47248.17433,43720.05839,41571.2374,40906.89518
E01015249,46276.07226,46790.00367,46648.94481,42284.50925,43146.82096,42787.73257
E01015250,34842.22806,31661.47399,37638.22276,34002.07612,35335.24495,30430.72554
E01015251,38841.58612,33116.47181,41469.06582,34369.92052,35857.02585,35339.97651
E01015252,37265.68787,38740.11961,36550.53196,33609.5651,34548.98242,33005.25728
E01015253,27408.21029,34209.88523,28835.9952,26777.22813,27810.14824,28262.22408
E01015254,35471.32029,38144.52028,37246.17715,33866.17715,32761.80005,32601.09725
E01015255,51523.64897,55939.55318,48556.6303,44766.70401,48173.67195,44445.43969
E01015256,48153.47521,57518.32084,56755.63166,51864.27363,55017.92443,47311.37721
E01015257,54380.81472,51970.25224,56139.10764,51510.60723,51994.59051,50077.65096
E01015258,37751.5983,35880.77708,37376.43776,33154.54828,33561.11288,33754.6406
E01015259,44931.36567,43747.83087,44154.52166,39486.92259,37606.90169,37945.80227
E01015260,49067.02702,46873.20912,49334.21058,45748.10698,46646.50346,46091.24519
E01015261,45069.5572,45547.20874,43953.80004,39553.22178,41903.39863,40986.39898
E01015262,41560.00521,40337.68944,42262.60053,37880.28413,39031.79928,36795.60926
E01015263,52712.36415,50429.56488,49669.72901,45382.83913,45527.90882,44283.36318
E01015264,37456.00982,38370.27292,35719.07131,32893.09728,34499.37656,31850.01402
E01015265,36609.61651,38179.05848,36927.99356,33430.37119,37583.47668,36671.92166
E01015266,50026.1739,47563.13837,56086.9492,49854.56825,51500.07036,46734.0911
E01015267,38210.37201,41956.92287,44372.88572,42393.79164,45073.79164,38241.99422
E01015268,36668.2789,41235.54306,39578.17013,35591.64998,37755.48879,40972.08766
E01015269,30362.6144,30137.48904,31273.0152,28278.13077,26458.2377,23330.26568
E01015270,41311.94233,38807.79036,38701.42383,32793.73152,36404.78014,33135.54528
E01015271,30989.85308,30404.83664,26108.12214,26252.03748,26112.23587,27328.33938
E01019886,20777.81576,25213.74392,24064.15603,21277.36679,22870.5927,22254.18414
E01019887,28207.1926,29102.10539,28202.20398,24617.69257,23743.33359,25640.17684
E01019888,28760.06826,29165.23403,26065.16569,23284.21331,24251.75131,24575.23616
E01019889,20644.01362,21559.13092,21729.04186,19731.74196,19210.76877,21046.32962
E01019890,31238.39754,27258.34552,27746.6736,26668.02192,26535.90516,27095.88831
E01019891,27991.13746,31761.27505,35061.77568,31074.02058,29751.65729,29263.38526
E01019892,34286.35822,28857.35087,39683.48228,35506.23093,37344.98024,34616.79295
E01019893,36676.06284,37161.20603,37163.0379,35156.52484,37945.63732,36089.48229
E01019894,27057.81089,30540.04978,30741.71912,26235.43892,25880.42497,25645.90259
E01019895,42258.71138,35627.45235,33043.60501,31530.0915,33546.86592,33330.37751
E01019896,39898.79272,40593.26049,40187.01889,35860.12894,36181.2759,33503.75109
E01019897,34144.06475,37837.43015,38646.42994,34624.70155,33401.33504,30334.11194
E01019898,34250.39177,32123.4287,33986.36287,31689.88253,30945.22069,28159.95863
E01019899,28037.36906,29730.66505,25383.18457,21145.08934,20820.08099,21350.76051
E01019900,26671.75165,32130.50809,24575.14673,22512.38984,24314.33167,22048.00286
E01019901,55298.24429,47458.85603,45868.25949,43506.35473,40762.92846,42485.74825
E01019902,45203.91136,43751.22883,37118.17658,33555.03258,32251.96077,30904.09365
E01019903,29967.68706,33195.58692,33243.96618,29835.27053,29208.76961,27404.59918
E01019904,64974.11326,62255.07627,62446.84241,55790.43215,55590.58963,54940.5637
E01019905,45593.78549,42924.87922,37840.13498,33954.42069,33848.18015,33794.96304
E01019906,47613.37524,49958.53011,47466.55722,42887.73369,43000.54625,41109.88141
E01019907,43382.13611,51054.12744,43658.98792,38063.26599,41145.72752,39256.08536
E01019908,54005.51098,56017.23933,48743.47646,44359.59945,43885.5285,42628.29681
E01019909,45108.84083,43585.23362,37610.18946,34905.42756,34997.45867,35454.14316
E01019910,60128.84626,58072.82339,50586.43221,47155.84398,45568.21388,44172.40109
E01019911,53048.3535,58857.42246,48844.49453,45086.54581,42701.68929,42770.31674
E01019912,53841.51509,57765.36934,50972.54602,47987.86693,45871.44662,50840.47502
E01019913,56932.08312,46187.18071,46970.53766,39447.73064,41655.62767,45685.80105
E01019914,66371.81155,72870.42423,68537.14612,63793.20218,63029.17136,58847.59333
E01019915,49354.85346,53717.04532,47969.49803,45048.86311,44230.48189,41042.77291
E01019916,56715.97191,50927.49055,48741.08643,45310.79324,46048.41046,43512.34829
E01019917,52588.7477,49319.8091,46779.42697,43841.1247,42712.38122,46458.09316
E01019918,48777.30653,46847.19908,41908.58802,39096.64772,39259.47783,39042.3133
E01019919,57517.11528,54594.48338,50262.03651,47088.18465,46981.63413,46147.76213
E01019920,63377.14373,60383.32771,53613.28362,48746.61695,49562.18746,42594.83081
E01019921,55747.23474,57309.43446,50292.69349,45651.82979,45274.77,45453.96892
E01019922,67698.85386,70127.14714,64653.98024,59207.8135,62470.21124,59362.59188
E01019923,62201.13017,63646.96512,59761.23216,54322.0136,56629.40578,55287.76196
