E01019902,East Devon 001A,16383,16122,16294,14557,,Eastern
E01019903,East Devon 006D,20178,18816,18160,19592,,Eastern
E01019904,East Devon 015A,16299,15337,14303,15696,,Eastern
E01019905,East Devon 015B,30501,28920,28652,31369,,Eastern
E01019906,East Devon 015C,26703,27200,25373,28192,,Eastern
E01019907,East Devon 015D,26529,26731,27448,27360,,Eastern
E01019908,East Devon 016A,22514,20730,21115,24184,,Eastern
E01019909,East Devon 016B,27629,27925,28746,29927,,Eastern
E01019910,East Devon 016C,19821,20807,23247,24262,,Eastern
E01019911,East Devon 016D,21832,24225,23625,26278,,Eastern
E01019912,East Devon 020A,17849,19745,18560,19438,,Eastern
E01019913,East Devon 020B,24273,22886,22050,26066,,Eastern
E01019914,East Devon 020C,8260,6926,5820,6641,,Eastern
E01019915,East Devon 020D,23899,22352,23485,25417,,Eastern
E01019916,East Devon 019A,10009,9892,9661,9802,,Eastern
E01019917,East Devon 019B,17087,17761,18536,18469,,Eastern
E01019918,East Devon 019C,8459,8147,10758,10311,,Eastern
E01019919,East Devon 019D,12186,13007,12792,12371,,Eastern
E01019920,East Devon 018A,19725,15974,16557,18839,,Eastern
E01019921,East Devon 018B,25562,24748,25953,25375,,Eastern
E01019922,East Devon 018C,11606,11526,11839,9251,,Eastern
E01019923,East Devon 018D,14240,13381,12993,16410,,Eastern
E01019924,East Devon 018E,13618,13422,12703,15047,,Eastern
E01019925,East Devon 004A,29619,28013,26842,29328,,Eastern
E01019927,East Devon 002A,13084,12526,9483,10647,,Eastern
E01019928,East Devon 003A,18974,16389,15356,16988,,Eastern
E01019929,East Devon 003B,22141,20485,22642,24852,,Eastern
E01019930,East Devon 003C,23083,21357,21224,23920,,Eastern
E01019931,East Devon 003D,28913,31029,30946,30728,,Eastern
E01019932,East Devon 002B,13889,11398,10451,11018,,Eastern
E01019933,East Devon 002C,17534,15809,13254,16852,,Eastern
E01019934,East Devon 002D,24359,23847,25374,24379,,Eastern
E01019935,East Devon 007C,24422,20837,22300,20940,,Eastern
E01019936,East Devon 007D,18404,17312,12734,17933,,Eastern
E01019937,East Devon 013A,26637,23093,22733,26680,,Eastern
E01019938,East Devon 001B,15757,14986,15582,16609,,Eastern
E01019939,East Devon 008A,24269,23018,25105,26416,,Eastern
E01019940,East Devon 008B,29046,28572,28378,28138,,Eastern
E01019942,East Devon 008C,17822,20851,17597,20897,,Eastern
E01019943,East Devon 008D,29651,28512,28886,31092,,Eastern
E01019944,East Devon 008E,24149,25787,26589,25840,,Eastern
E01019945,East Devon 013B,21064,17140,16586,18474,,Eastern
E01019946,East Devon 010A,26902,27256,24686,27443,,Eastern
E01019947,East Devon 010B,11797,13434,13026,14414,,Eastern
E01019948,East Devon 010C,21300,20318,21327,21744,,Eastern
E01019949,East Devon 010D,25498,22882,24300,27951,,Eastern
E01019950,East Devon 010E,18306,16407,14930,15251,,Eastern
E01019951,East Devon 009C,26193,23066,24271,26253,,Eastern
E01019952,East Devon 011A,26110,24926,24279,26866,,Eastern
E01019953,East Devon 011B,24679,24721,24731,22208,,Eastern
E01019954,East Devon 011C,17851,16394,17033,16080,,Eastern
E01019955,East Devon 011D,19558,18026,16678,19984,,Eastern
