Area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E01015100,0.003969692,0,0,0.003612895,0,0,0,0.003298753,0.003254243,0.004882613,0.004761995,0.004735996,0.00305685,0.00305685,0
E01015101,0.003951111,0.003997894,0.006045192,0.003914467,0.007577566,0.007542951,0.005955271,0.005887901,0.005835093,0.003851948,0.003874045,0.00587461,0.005907952,0.005907952,0.005907952
E01015102,0.003651971,0.00558465,0.0035078,0.007006819,0.005194489,0.00478388,0.004659674,0.00581601,0.006690385,0.00676011,0.006684639,0.007742907,0.006707681,0.006707681,0.007589699
E01015103,0.003468167,0.003401779,0.003408647,0.005148246,0.003361144,0.005138081,0.003279529,0.005158451,0.006687564,0.005163569,0.005063106,0.006446072,0.006353067,0.005014327,0.005014327
E01015104,0.003515104,0.003398355,0.005278785,0.005173834,0.005168696,0.003314946,0.005300288,0.005531234,0.006832851,0.008054136,0.007988014,0.00817252,0.00825048,0.007014261,0.005537119
E01015105,0,0.003439901,0.005220541,0.003347813,0.003314946,0.005102818,0.005184141,0.005107826,0.005133014,0.005199679,0.005068036,0.005077925,0.005072976,0.005072976,0.003295533
E01015106,0,0.004799092,0.004765227,0.006977134,0.004522682,0.006514301,0.006441738,0.006378581,0.00421762,0.006433775,0.008270193,0.008147769,0.006441738,0.008157833,0.008157833
E01015107,0.004891791,0.003124744,0.003079152,0.004775102,0.004788281,0.006039371,0.004878037,0.00619806,0.006233155,0.006250853,0.004933524,0.006427254,0.005112844,0.006477682,0.005112844
E01015108,0.004938205,0.002916891,0.002855227,0.004319371,0.004418375,0.005473784,0.005469252,0.006300477,0.006305581,0.00648958,0.006522206,0.00569564,0.005661465,0.005661465,0.004467681
E01015109,0.00316576,0.004928852,0.004819318,0.003148051,0.004910252,0.006129041,0.007319506,0.006174881,0.006192249,0.007264855,0.006117687,0.006239043,0.007466955,0.007466955,0.006346962
E01015110,0.004475364,0.004381182,0.005618123,0.005556677,0.004448588,0.004452393,0.004463849,0.005785443,0.005909681,0.006123358,0.006233155,0.006446072,0.00645237,0.007590742,0.00645237
E01015111,0.004355517,0.005566043,0.004448588,0.005419883,0.004283819,0.004340986,0.005524145,0.004326552,0.004510269,0.005618123,0.004498574,0.004601993,0.004553676,0.00577028,0.004553676
E01015112,0.003766022,0.003724481,0.005835093,0.003804209,0.005835093,0.007269006,0.007374514,0.007374514,0.008751365,0.008438301,0.00682579,0.008079214,0.008215648,0.005513655,0.005513655
E01015113,0.003593668,0.005560783,0.003699993,0.003620643,0.005626914,0.005676005,0.005657496,0.007213435,0.005738588,0.007349895,0.008540137,0.007366289,0.008871044,0.008871044,0.007542951
E01015114,0.005496188,0.003601334,0.007182059,0.005519503,0.006947854,0.005578664,0.007189878,0.007166474,0.005590648,0.007120121,0.007182059,0.005848206,0.007630088,0.006024201,0.003914467
E01015115,0.004698912,0.007179239,0.004615413,0.006958478,0.006949187,0.00677726,0.008559567,0.008941973,0.00858181,0.006803838,0.006664445,0.008649237,0.006839602,0.008660578,0.008660578
E01015116,0.004919534,0.006322658,0.006340868,0.006346962,0.006548327,0.006477682,0.005112844,0.005438754,0.007021717,0.008294437,0.008484287,0.007551575,0.008790898,0.008790898,0.007474661
