Area,Label,IMD Score
E01020249,Teignbridge 018D,11.146
E01020250,Teignbridge 009A,10.029
E01020251,Teignbridge 011C,10.533
E01020252,Teignbridge 009B,23.736
E01020253,Teignbridge 009C,4.626
E01020254,Teignbridge 009D,23.159
E01020255,Teignbridge 009E,14.941
E01020256,Teignbridge 013D,19.081
E01020257,Teignbridge 009F,5.78
E01020258,Teignbridge 003B,12.477
E01020259,Teignbridge 003C,19.563
E01020260,Teignbridge 011D,8.49
E01020261,Teignbridge 011E,10.062
E01020262,Teignbridge 001B,23.046
E01020263,Teignbridge 001C,14.006
E01020264,Teignbridge 010A,28.408
E01020265,Teignbridge 008A,8.083
E01020266,Teignbridge 008B,8.238
E01020267,Teignbridge 008C,12.25
E01020268,Teignbridge 008D,11.716
E01020269,Teignbridge 010B,38.262
E01020270,Teignbridge 008E,10.35
E01020271,Teignbridge 010C,24.15
E01020272,Teignbridge 010D,33.311
E01020273,Teignbridge 003D,11.854
E01020274,Teignbridge 001D,15.491
E01020275,Torridge 001A,22.309
E01020276,Torridge 001B,17.287
E01020277,Torridge 004A,38.692
E01020278,Torridge 004B,19.942
E01020279,Torridge 004C,22.939
E01020280,Torridge 003A,43.976
E01020281,Torridge 003B,8.934
E01020282,Torridge 003C,32.366
E01020283,Torridge 004D,18.771
E01020284,Torridge 004E,23.539
E01020285,Torridge 004F,28.884
E01020286,Torridge 009A,29.592
E01020287,Torridge 007A,23.727
E01020288,Torridge 005A,22.497
E01020289,Torridge 009B,25.529
E01020290,Torridge 009C,24.427
E01020291,Torridge 008A,23.479
E01020292,Torridge 005B,23.585
E01020293,Torridge 008B,24.965
E01020294,Torridge 008C,31.97
E01020295,Torridge 005C,17.021
E01020296,Torridge 005D,18.364
E01020297,Torridge 001C,36.837
E01020298,Torridge 002A,11.218
E01020299,Torridge 001D,17.798
E01020300,Torridge 002B,11.863
E01020301,Torridge 009D,19.353
E01020302,Torridge 008D,23.445
E01020303,Torridge 007B,18.683
E01020304,Torridge 006A,15.996
E01020305,Torridge 006B,25.418
E01020306,Torridge 006C,8.385
E01020307,Torridge 006D,24.995
E01020308,Torridge 007C,20.375
E01020309,Torridge 008E,23.382
E01020310,Torridge 002C,25.992
E01020311,Torridge 007D,22.08
E01020312,West Devon 007A,15.19
E01020313,West Devon 007B,26.626
E01020314,West Devon 004A,22.96
E01020315,West Devon 007C,14.511
E01020316,West Devon 007D,7.326
E01020317,West Devon 006A,11.142
E01020318,West Devon 003A,11.458
E01020319,West Devon 003B,20.291
E01020320,West Devon 001A,24.173
E01020321,West Devon 001B,22.071
E01020322,West Devon 001C,23.637
E01020323,West Devon 003C,28.222
