Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E01015138,0.012012012,0.013944223,0.009813543,0.013374486,0.023469388,0.025289779,0.020787746,0.027808676,0.013265306,0.017667845,0.005889282,0.017667845
E01015139,0.010067114,0.01986755,0.014176663,0.014590348,0.035307517,0.029655991,0.046263345,0.033175355,0.022779043,0.024420024,0.006105006,0.012210012
E01015140,0.004807692,0.01183432,0.009580838,0.009876543,0.019083969,0.012642225,0.009186352,0.013586957,0.011450382,0.013927577,0.006963788,0.006963788
E01015141,0.005081301,0.007582938,0.009149131,0.005633803,0.02188392,0.013096352,0.014520813,0.017716535,0.006660324,0.005107252,0.005107252,0.005107252
E01015142,0.014583333,0.02173913,0.02189781,0.016985138,0.03765227,0.041530055,0.03654485,0.037162162,0.026578073,0.027203482,0.016322089,0.021762786
E01015143,0.010928962,0.014176663,0.016519824,0.014623172,0.049030787,0.029953917,0.036773428,0.03172738,0.035347777,0.036188179,0.012062726,0.018094089
E01015144,0.031446541,0.034410845,0.03516029,0.030456853,0.053403141,0.056203606,0.063541667,0.058526741,0.057591623,0.055165496,0.045135406,0.035105316
E01015145,0.047109208,0.052478134,0.041992188,0.052880076,0.070519099,0.072097378,0.087892377,0.076645627,0.089128306,0.076791809,0.051194539,0.038395904
E01015146,0.026823135,0.034946237,0.042857143,0.030008826,0.060306031,0.066548358,0.068904594,0.078431373,0.072907291,0.062893082,0.039308176,0.031446541
E01015147,0.02375,0.020656136,0.015700483,0.01743462,0.028097063,0.024771838,0.028795812,0.030383091,0.029374202,0.034246575,0.01369863,0.006849315
E01015148,0.010901883,0.017874876,0.015075377,0.01171875,0.036326942,0.02672148,0.041836735,0.044247788,0.020181635,0.019120459,0.009560229,0.014340344
E01015149,0.033482143,0.038126362,0.0399137,0.031419285,0.046511628,0.044857768,0.064835165,0.05483871,0.042081949,0.044742729,0.027964206,0.039149888
E01015150,0.015834348,0.025477707,0.021410579,0.016752577,0.033163265,0.031325301,0.051373955,0.04176611,0.038265306,0.033632287,0.016816143,0.016816143
E01015151,0.050894085,0.058746736,0.052770449,0.045545881,0.080988332,0.077877326,0.079247817,0.082587749,0.074811256,0.071243523,0.058290155,0.058290155
E01015152,0.045421245,0.040609137,0.045096636,0.041605839,0.052404882,0.067068576,0.089116719,0.086012862,0.061737258,0.063622754,0.04491018,0.041167665
E01015153,0.063344595,0.075440067,0.06462585,0.060556465,0.1,0.091688089,0.091811414,0.106882591,0.090833333,0.089722675,0.061174551,0.057096248
E01015155,0.0917603,0.095495495,0.082545142,0.073150457,0.101916376,0.123931624,0.130825838,0.120258273,0.12804878,0.114533965,0.075039494,0.082938389
E01015156,0.030224525,0.043290043,0.043517679,0.026770294,0.044801352,0.061511424,0.072139303,0.073099415,0.060862215,0.054602184,0.031201248,0.03900156
E01015157,0.049873204,0.058590657,0.04686319,0.034934498,0.061977716,0.056080655,0.051236749,0.043899658,0.061281337,0.049450549,0.032967033,0.035714286
E01015158,0.030844156,0.035488959,0.034954407,0.028129395,0.054747055,0.053727334,0.050518135,0.0564137,0.049203049,0.044814341,0.025608195,0.035211268
E01015159,0.018691589,0.025236593,0.025586354,0.01320132,0.039325843,0.038975501,0.04,0.037960954,0.025842697,0.027472527,0.016483516,0.032967033
E01015160,0.005567929,0.00678733,0.004550626,0.003476246,0.020214031,0.00976801,0.018669778,0.013285024,0.011890606,0.012121212,0.006060606,0.006060606
E01015161,0.014155713,0.012133468,0.013541667,0.014941302,0.040178571,0.030337079,0.032879819,0.041573034,0.037946429,0.040415704,0.02886836,0.023094688
